TOPPID,BirthYear,DepartLoc,ArriveLoc,trip
2021023,2013,ANNU,ANNU,2
2021025,2016,ANNU,ANNU,2
2021026,2016,ANNU,ANNU,2
2021027,2016,ANNU,ANNU,2
2021028,2016,ANNU,ANNU,2
2021031,2016,ANNU,ANNU,2
2021032,2016,ANNU,ANNU,2
2021033,2016,ANNU,ANNU,2
2021034,2014,ANNU,ANNU,2
2021035,2016,ANNU,ANNU,2
2022041,2016,ANNU,ANNU,2
2022042,2013,ANNU,ANNU,2
2022043,2014,ANNU,PIBL,2
2022044,2018,ANNU,PTRE,2
2022045,2017,ANNU,ANNU,2
2022046,2014,ANNU,ANNU,2
2022048,2018,ANNU,ANNU,2
2023030,2018,ANNU,ANNU,2
2023032,2018,ANNU,PTRE,2
2023034,2017,ANNU,ANNU,2
2023035,2017,ANNU,ANNU,2
2023036,2018,ANNU,ANNU,2
2023037,2018,ANNU,ANNU,2
2023038,2016,ANNU,ANNU,2
2023039,2018,ANNU,ANNU,2
2023040,2018,ANNU,ANNU,2
2023041,2017,ANNU,ANNU,2
